nodes,granularity,max_depth,screen_width,screen_height,lower_left_x,lower_left_y,upper_right_x,upper_right_y,difficulty,Blocks
3,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.7
1,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.7
3,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.7
4,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.7
5,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.7
1,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.7
3,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.7
2,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
1,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
2,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
1,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
1,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
4,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
2,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
1,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
5,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
5,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
2,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
3,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
3,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
3,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
3,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
5,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
6,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
6,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
4,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
5,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
3,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
5,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
4,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
3,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
3,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
2,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
4,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
5,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
1,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
3,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
4,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
6,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
6,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
6,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
1,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
3,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
6,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
2,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
2,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.8
3,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
5,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
1,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
2,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.8
3,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.8
4,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
4,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
4,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
4,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
4,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
5,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
4,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
1,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
3,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
2,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
6,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
1,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
6,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
2,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
5,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
1,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
4,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
5,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
2,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
5,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
1,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
5,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
2,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
1,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
1,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
2,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
6,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
3,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
1,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
5,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
1,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
4,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
3,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
4,60,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
6,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
5,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
4,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
2,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
5,60,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
6,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
1,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
2,40,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
4,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
5,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
3,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
2,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
6,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
2,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
3,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
6,120,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
3,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
2,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
1,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
5,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
2,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
2,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
1,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
4,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.9
4,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.9
6,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.9
